idCategoria|Categoría
1307|AGENCIA DE VIAJES INTERNACIONAL
1308|(5) Cinco tenedores
1309|PRIMERA
1310|PRIMERA
1311|RENT A CAR
1312|AGENCIA DE VIAJES DUAL
1313|AGENCIA DE VIAJES DUAL
1314|AGENCIA DE VIAJES DUAL
1315|AGENCIA DE VIAJES DUAL
1316|AGENCIA DE VIAJES DUAL
1317|RENT A CAR
1318|SEGUNDA
1319|PRIMERA
1320|PRIMERA
1321|OPERADOR TURÍSTICO
1322|PRIMERA
1323|SEGUNDA
1324|TERCERA
1325|PRIMERA
1326|AGENCIA DE VIAJES DUAL
1327|PRIMERA
1328|OPERADOR TURÍSTICO
1329|OPERADOR TURÍSTICO
1330|OPERADOR TURÍSTICO
1331|OPERADOR TURÍSTICO
1332|AGENCIA DE VIAJES DUAL
1333|AGENCIA DE VIAJES DUAL
