id|Categoría |id_1
15744|TERCERA|752
15745|TERCERA|753
15746|TERCERA|754
15747|TERCERA|755
15748|TERCERA|756
15749|SEGUNDA|757
15750|TERCERA|758
15751|2 Estrellas|759
15752|TERCERA|760
15753|1 Estrellas|761
15754|2 Estrellas|762
15755|TERCERA|763
15756|SEGUNDA|764
15757|CUARTA|765
15758|TERCERA|766
15759|OPERADOR TURÍSTICO|767
15760|TERCERA|768
15761|(1) Una copa|769
15762|RENT A CAR|770
15763|RENT A CAR|771
15764|CUARTA|772
15765|CUARTA|773
15766|CUARTA|774
15767|CUARTA|775
15768|TERCERA|776
15769|TERCERA|777
15770|CUARTA|778
15771|CUARTA|779
15772|CUARTA|780
15773|CUARTA|781
15774|TERCERA|782
15775|TERCERA|783
15776|AGENCIA DE VIAJES DUAL|784
15777|TERCERA|785
15778|CUARTA|786
15779|TERCERA|787
15780|2 Estrellas|788
15781|AGENCIA DE VIAJES DUAL|789
15782|SEGUNDA|790
15783|(2) Dos tenedores|791
15784|SEGUNDA|792
15785|SEGUNDA|793
15786|SERVICIO TRANSP.TERRES.TURIS.|794
15787|TERCERA|795
15788|AGENCIA DE VIAJES INTERNACIONAL|796
15789|SEGUNDA|797
15790|TERCERA|798
15791|PRIMERA|799
15792|(2) Dos tenedores|800
15793|(2) Dos tenedores|801
15794|(2) Dos tenedores|802
15795|PRIMERA|803
15796|PRIMERA|804
15797|SEGUNDA|805
15798|PRIMERA|806
15799|PRIMERA|807
15800|SEGUNDA|808
15801|PRIMERA|809
15802|PRIMERA|810
15803|SEGUNDA|811
15804|SEGUNDA|812
15805|SEGUNDA|813
15806|(1) Una taza|814
15807|TERCERA|815
15808|CUARTA|816
15809|SEGUNDA|817
15810|(1) Una tazas|818
15811|CUARTA|819
15812|OPERADOR TURÍSTICO|820
15813|Categoría única|821
15814|CUARTA|822
15815|CUARTA|823
15816|CUARTA|824
15817|TERCERA|825
15818|CUARTA|826
15819|TERCERA|827
15820|TERCERA|828
15821|CUARTA|829
15822|TERCERA|830
15823|TERCERA|831
15824|TERCERA|832
15825|Categoría única|833
15826|1 Estrellas|834
15827|(1) Un tenedor|835
15828|CUARTA|836
15829|CUARTA|837
15830|CUARTA|838
15831|CUARTA|839
15832|3 Estrellas|840
15833|Categoría única|841
15834|TERCERA|842
15835|CUARTA|843
15836|1 Estrellas|844
15837|3 Estrellas|845
15838|3 Estrellas|846
15839|1 Estrellas|847
15840|Categoría única|848
15841|1 Estrellas|849
15842|CUARTA|850
15843|TERCERA|851
15844|TERCERA|852
15845|TERCERA|853
15846|OPERADOR TURÍSTICO|854
15847|CUARTA|855
15848|TERCERA|856
15849|SEGUNDA|857
15850|Categoría única|858
15851|TERCERA|859
15852|TERCERA|860
15853|SEGUNDA|861
15854|SEGUNDA|862
15855|(1) Una taza|863
15856|TERCERA|864
15857|SEGUNDA|865
15858|SEGUNDA|866
15859|PRIMERA|867
15860|SEGUNDA|868
15861|(1) Una tazas|869
15862|(1) Una tazas|870
15863|(1) Una tazas|871
15864|(1) Una tazas|872
15865|SEGUNDA|873
15866|SEGUNDA|874
15867|SEGUNDA|875
15868|TERCERA|876
15869|(1) Una tazas|877
15870|SEGUNDA|878
15871|SEGUNDA|879
15872|SEGUNDA|880
15873|SEGUNDA|881
15874|SEGUNDA|882
15875|SEGUNDA|883
15876|SEGUNDA|884
15877|(2) Dos tazas|885
15878|(2) Dos tazas|886
15879|(2) Dos tazas|887
15880|(1) Una tazas|888
