idCategoria|Categoría|horarios|idEstablecimiento
219|1 Estrellas|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22428
220|Categoría única|Lunes a Viernes 08h30 a 17h30|22429
221|(1) Una tazas|Lunes a viernes de 08:00 a 18:00|22430
222|(1) Una taza|Lunes a Viernes 08h30 a 17h30|22431
223|(1) Un tenedor|Lunes a domingo 24 horas|22432
224|(1) Un tenedor|Lunes a sabado de 08:00 a22:00|22433
225|CUARTA|Lunes a sabado de 08:00 a22:00|22434
226|TERCERA / 2 TENEDORES|Lunes a sabado de 08:00 a22:00|22435
227|TERCERA|Lunes a sabado de 06:00 a22:00|22436
228|CUARTA|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22437
229|3 Estrellas|Lunes a domingo 24 horas|22438
230|SEGUNDA|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22439
231|2 Estrellas|Lunes a sabado de 08:00 a22:00|22440
232|TERCERA|Lunes a sabado de 08:00 a22:00|22441
233|(1) Un tenedor|Lunes a Domingo 24 horas|22442
234|SEGUNDA|Lunes a sabado de 08:00 a22:00|22443
235|TERCERA|Lunes a sabado de 08:00 a22:00|22444
236|CUARTA|Lunes a sabado de 08:00 a22:00|22445
237|2 Estrellas|Lunes a sabado de 08:00 a22:00|22446
238|1 Estrellas|Lunes a Viernes 08h30 a 17h30|22447
239|Categoría única|Lunes a Viernes 08h30 a 17h00|22448
240|2 Estrellas|Lunes a sabado de 08:00 a22:00|22449
241|TERCERA|Lunes a sabado de 08:00 a22:00|22450
242|1 Estrellas|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22451
243|TERCERA / 2 TENEDORES|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22452
244|2 Estrellas|Lunes a viernes de 08:00 a 18:00|22453
245|3 Estrellas|Lunes a viernes de 08:00 a 18:00|22454
246|3 Estrellas|Lunes a domingo 24 horas|22455
247|3 Estrellas|Lunes a Domingo 24 horas|22456
248|TERCERA|Lunes a sabado de 08:00 a22:00|22457
249|SEGUNDA|Lunes a sabado de 08:00 a22:00|22458
250|SEGUNDA|Lunes a Viernes 08h30 a 17h30|22459
251|CUARTA|Lunes a viernes de 08:00 a 18:00|22460
252|SEGUNDA|Lunes a viernes de 08:00 a 18:00|22461
253|TERCERA|Lunes a viernes de 08:00 a 18:00|22462
254|CUARTA|Lunes a viernes de 08:00 a 18:00|22463
255|TERCERA|Lunes a domingo 24 horas|22464
256|TERCERA|Lunes a viernes de 08:00 a 18:00|22465
257|(1) Un tenedor|Lunes a Viernes 08h30 a 17h30|22466
258|TERCERA|Lunes a domingo 24 horas|22467
259|3 Estrellas|Lunes a Viernes 08h30 a 17h30|22468
260|(2) Dos tenedores|Lunes a Viernes 08h30 a 17h30|22469
261|2 Estrellas|Lunes a viernes de 08:00 a 18:00|22470
262|3 Estrellas|Lunes a Viernes 08h30 a 17h30|22471
263|TERCERA|Lunes a domingo 24 horas|22472
264|1 Estrellas|Lunes a viernes 06:00 a 20:00|22473
